,awardYear,laureates,prizeAmount,prizeAmountAdjusted,category.en,category.no,category.se,categoryFullName.en,categoryFullName.no,categoryFullName.se,links.action,links.href,links.rel,links.types,dateAwarded,topMotivation.en,topMotivation.se
591,2010,"[{'id': '848', 'knownName': {'en': 'Robert G. Edwards'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/848', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'for the development of in vitro fertilization', 'se': 'för utvecklingen av in vitro-fertilisering'}, 'portion': '1', 'sortOrder': '1'}]",10000000,10819388,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,Get,http://masterdataapi.nobelprize.org/2/nobelPrize/med/2010,nobelPrize,application/json,,,
592,2011,"[{'id': '867', 'knownName': {'en': 'Dan Shechtman'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/867', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'for the discovery of quasicrystals', 'se': 'för upptäckten av kvasikristaller'}, 'portion': '1', 'sortOrder': '1'}]",10000000,10545557,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,Get,http://masterdataapi.nobelprize.org/2/nobelPrize/che/2011,nobelPrize,application/json,2011-10-05,,
593,2011,"[{'id': '872', 'knownName': {'en': 'Thomas J. Sargent'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/872', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'for their empirical research on cause and effect in the macroeconomy', 'se': 'för deras empiriska forskning om orsak och verkan i makroekonomin'}, 'portion': '1/2', 'sortOrder': '1'}, {'id': '873', 'knownName': {'en': 'Christopher A. Sims'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/873', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'for their empirical research on cause and effect in the macroeconomy', 'se': 'för deras empiriska forskning om orsak och verkan i makroekonomin'}, 'portion': '1/2', 'sortOrder': '2'}]",10000000,10545557,Economic Sciences,Økonomi,Ekonomi,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel,Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne,Get,http://masterdataapi.nobelprize.org/2/nobelPrize/eco/2011,nobelPrize,application/json,2011-10-10,,
594,2011,"[{'id': '868', 'knownName': {'en': 'Tomas Tranströmer'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/868', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'because, through his condensed, translucent images, he gives us fresh access to reality', 'se': 'för att han i förtätade, genomlysta bilder ger oss ny tillgång till det verkliga'}, 'portion': '1', 'sortOrder': '1'}]",10000000,10545557,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,Get,http://masterdataapi.nobelprize.org/2/nobelPrize/lit/2011,nobelPrize,application/json,2011-10-06,,
595,2011,"[{'id': '869', 'knownName': {'en': 'Ellen Johnson Sirleaf'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/869', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'for their non-violent struggle for the safety of women and for women\x92s rights to full participation in peace-building work', 'no': 'for deres ikke-voldelige kamp for kvinners sikkerhet og deres rett til full deltakelse i fredsbyggende arbeid'}, 'portion': '1/3', 'sortOrder': '1'}, {'id': '870', 'knownName': {'en': 'Leymah Gbowee'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/870', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'for their non-violent struggle for the safety of women and for women\x92s rights to full participation in peace-building work', 'no': 'for deres ikke-voldelige kamp for kvinners sikkerhet og deres rett til full deltakelse i fredsbyggende arbeid'}, 'portion': '1/3', 'sortOrder': '2'}, {'id': '871', 'knownName': {'en': 'Tawakkol Karman'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/871', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'for their non-violent struggle for the safety of women and for women\x92s rights to full participation in peace-building work', 'no': 'for deres ikke-voldelige kamp for kvinners sikkerhet og deres rett til full deltakelse i fredsbyggende arbeid'}, 'portion': '1/3', 'sortOrder': '3'}]",10000000,10545557,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,Get,http://masterdataapi.nobelprize.org/2/nobelPrize/pea/2011,nobelPrize,application/json,2011-10-07,,
596,2011,"[{'id': '864', 'knownName': {'en': 'Saul Perlmutter'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/864', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'for the discovery of the accelerating expansion of the Universe through observations of distant supernovae', 'se': 'för upptäckten av universums accelererande expansion genom observationer av avlägsna supernovor'}, 'portion': '1/2', 'sortOrder': '1'}, {'id': '865', 'knownName': {'en': 'Brian P. Schmidt'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/865', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'for the discovery of the accelerating expansion of the Universe through observations of distant supernovae', 'se': 'för upptäckten av universums accelererande expansion genom observationer av avlägsna supernovor'}, 'portion': '1/4', 'sortOrder': '2'}, {'id': '866', 'knownName': {'en': 'Adam G. Riess'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/866', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'for the discovery of the accelerating expansion of the Universe through observations of distant supernovae', 'se': 'för upptäckten av universums accelererande expansion genom observationer av avlägsna supernovor'}, 'portion': '1/4', 'sortOrder': '3'}]",10000000,10545557,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,Get,http://masterdataapi.nobelprize.org/2/nobelPrize/phy/2011,nobelPrize,application/json,2011-10-04,,
597,2011,"[{'id': '861', 'knownName': {'en': 'Bruce A. Beutler'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/861', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'for their discoveries concerning the activation of innate immunity', 'se': 'för deras upptäckter rörande aktivering av medfödd immunitet'}, 'portion': '1/4', 'sortOrder': '1'}, {'id': '862', 'knownName': {'en': 'Jules A. Hoffmann'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/862', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'for their discoveries concerning the activation of innate immunity', 'se': 'för deras upptäckter rörande aktivering av medfödd immunitet'}, 'portion': '1/4', 'sortOrder': '2'}, {'id': '863', 'knownName': {'en': 'Ralph M. Steinman'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/863', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'for his discovery of the dendritic cell and its role in adaptive immunity', 'se': 'för hans upptäckt av dendritcellen och dess roll vid förvärvad immunitet'}, 'portion': '1/2', 'sortOrder': '3'}]",10000000,10545557,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,Get,http://masterdataapi.nobelprize.org/2/nobelPrize/med/2011,nobelPrize,application/json,,,
598,2012,"[{'id': '878', 'knownName': {'en': 'Robert J. Lefkowitz'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/878', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'for studies of G-protein-coupled receptors', 'se': '”för studier av G-proteinkopplade receptorer”'}, 'portion': '1/2', 'sortOrder': '1'}, {'id': '879', 'knownName': {'en': 'Brian Kobilka'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/879', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'for studies of G-protein-coupled receptors', 'se': '”för studier av G-proteinkopplade receptorer”'}, 'portion': '1/2', 'sortOrder': '2'}]",8000000,8361204,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,Get,http://masterdataapi.nobelprize.org/2/nobelPrize/che/2012,nobelPrize,application/json,2012-10-10,,
599,2012,"[{'id': '882', 'knownName': {'en': 'Alvin E. Roth'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/882', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'for the theory of stable allocations and the practice of market design', 'se': 'för teorin om stabila allokeringar och för utformning av marknadsinstitutioner i praktiken'}, 'portion': '1/2', 'sortOrder': '1'}, {'id': '883', 'knownName': {'en': 'Lloyd S. Shapley'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/883', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'for the theory of stable allocations and the practice of market design', 'se': 'för teorin om stabila allokeringar och för utformning av marknadsinstitutioner i praktiken'}, 'portion': '1/2', 'sortOrder': '2'}]",8000000,8361204,Economic Sciences,Økonomi,Ekonomi,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel,Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne,Get,http://masterdataapi.nobelprize.org/2/nobelPrize/eco/2012,nobelPrize,application/json,2012-10-15,,
600,2012,"[{'id': '880', 'knownName': {'en': 'Mo Yan'}, 'links': {'action': 'Get', 'href': 'http://masterdataapi.nobelprize.org/2/laureate/880', 'rel': 'laureate', 'types': 'application/json'}, 'motivation': {'en': 'who with hallucinatory realism merges folk tales, history and the contemporary', 'se': 'som med hallucinatorisk skärpa förenar saga, historia och samtid'}, 'portion': '1', 'sortOrder': '1'}]",8000000,8361204,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,Get,http://masterdataapi.nobelprize.org/2/nobelPrize/lit/2012,nobelPrize,application/json,2012-10-11,,
